date,price
Feb 2018,51
Feb 2018,54
Feb 2018,27
Feb 2018,28
Feb 2018,29
Feb 2018,35
Feb 2018,55
Feb 2018,61
Feb 2018,44
Feb 2018,37
Feb 2018,29
Feb 2018,56
Feb 2018,65
Feb 2018,54
Mar 2018,57
Mar 2018,59
Mar 2018,35
Mar 2018,28
Mar 2018,65
Mar 2018,52
Mar 2018,52
Mar 2018,64
Mar 2018,64
Mar 2018,31
Mar 2018,48
Mar 2018,54
Mar 2018,60
Mar 2018,68
Mar 2018,59
Mar 2018,60
Mar 2018,38
Mar 2018,44
Mar 2018,66
Mar 2018,66
Mar 2018,82
Mar 2018,74
Mar 2018,60
Mar 2018,29
Mar 2018,46
Mar 2018,71
Mar 2018,89
Mar 2018,67
Mar 2018,81
Mar 2018,67
Mar 2018,52
Apr 2018,38
Apr 2018,88
Apr 2018,98
Apr 2018,84
Apr 2018,113
Apr 2018,91
Apr 2018,43
Apr 2018,40
Apr 2018,50
Apr 2018,51
Apr 2018,41
Apr 2018,31
Apr 2018,41
Apr 2018,28
Apr 2018,31
Apr 2018,33
Apr 2018,36
Apr 2018,47
Apr 2018,27
Apr 2018,43
Apr 2018,15
Apr 2018,31
Apr 2018,40
Apr 2018,52
Apr 2018,47
Apr 2018,50
Apr 2018,34
Apr 2018,35
Apr 2018,22
Apr 2018,33
May 2018,28
May 2018,44
May 2018,38
May 2018,36
May 2018,21
May 2018,20
May 2018,42
May 2018,37
May 2018,52
May 2018,40
May 2018,35
May 2018,14
May 2018,20
May 2018,49
May 2018,51
May 2018,30
May 2018,35
May 2018,33
May 2018,7
May 2018,22
May 2018,20
May 2018,39
May 2018,25
May 2018,36
May 2018,28
May 2018,22
May 2018,16
May 2018,34
May 2018,45
May 2018,40
May 2018,33
Jun 2018,27
Jun 2018,21
Jun 2018,35
Jun 2018,46
Jun 2018,33
Jun 2018,39
Jun 2018,52
Jun 2018,37
Jun 2018,9
Jun 2018,30
Jun 2018,43
Jun 2018,49
Jun 2018,48
Jun 2018,34
Jun 2018,33
Jun 2018,24
Jun 2018,28
Jun 2018,39
Jun 2018,28
Jun 2018,34
Jun 2018,42
Jun 2018,33
Jun 2018,26
Jun 2018,40
Jun 2018,44
Jun 2018,40
Jun 2018,60
Jun 2018,46
Jun 2018,37
Jun 2018,21
Jul 2018,16
Jul 2018,30
Jul 2018,51
Jul 2018,52
Jul 2018,47
Jul 2018,32
Jul 2018,24
Jul 2018,24
Jul 2018,46
Jul 2018,46
Jul 2018,49
Jul 2018,46
Jul 2018,32
Jul 2018,25
Jul 2018,20
Jul 2018,37
Jul 2018,52
Jul 2018,58
Jul 2018,49
Jul 2018,37
Jul 2018,22
Jul 2018,27
Jul 2018,50
Jul 2018,53
Jul 2018,37
Jul 2018,35
Jul 2018,32
Jul 2018,27
Jul 2018,23
Jul 2018,35
Jul 2018,59
1 Aug 2018,50
2 Aug 2018,49
3 Aug 2018,37
4 Aug 2018,33
5 Aug 2018,23
6 Aug 2018,30
7 Aug 2018,52
8 Aug 2018,48
9 Aug 2018,47
10 Aug 2018,49
11 Aug 2018,23
12 Aug 2018,30
13 Aug 2018,38
14 Aug 2018,109
15 Aug 2018,73
16 Aug 2018,60
17 Aug 2018,41
18 Aug 2018,29
19 Aug 2018,33
20 Aug 2018,58
21 Aug 2018,75
22 Aug 2018,63
23 Aug 2018,78
24 Aug 2018,57
25 Aug 2018,36
26 Aug 2018,35
27 Aug 2018,89
28 Aug 2018,74
29 Aug 2018,62
30 Aug 2018,62
31 Aug 2018,66
1 Sep 2018,34
2 Sep 2018,44
3 Sep 2018,57
4 Sep 2018,98
5 Sep 2018,113
6 Sep 2018,85
7 Sep 2018,89
8 Sep 2018,54
9 Sep 2018,68
10 Sep 2018,110
11 Sep 2018,135
12 Sep 2018,138
13 Sep 2018,68
